file,time,date,processed_time
X:\OdontoceteClicks\clicks\2020\05\MARS_20200501_224219.wav_clicks.jld2,2020-05-01T22:42:19.0,2020-05-01,2020-05-23T14:31:34.771
X:\OdontoceteClicks\clicks\2020\05\MARS_20200501_225219.wav_clicks.jld2,2020-05-01T22:52:19.0,2020-05-01,2020-05-23T14:31:43.172
X:\OdontoceteClicks\clicks\2020\05\MARS_20200501_230219.wav_clicks.jld2,2020-05-01T23:02:19.0,2020-05-01,2020-05-23T14:31:57.295
X:\OdontoceteClicks\clicks\2020\05\MARS_20200501_231219.wav_clicks.jld2,2020-05-01T23:12:19.0,2020-05-01,2020-05-23T14:32:04.863
X:\OdontoceteClicks\clicks\2020\05\MARS_20200501_232219.wav_clicks.jld2,2020-05-01T23:22:19.0,2020-05-01,2020-05-23T14:32:20.613
X:\OdontoceteClicks\clicks\2020\05\MARS_20200501_233219.wav_clicks.jld2,2020-05-01T23:32:19.0,2020-05-01,2020-05-23T14:32:24.367
X:\OdontoceteClicks\clicks\2020\05\MARS_20200501_234219.wav_clicks.jld2,2020-05-01T23:42:19.0,2020-05-01,2020-05-23T14:32:42.949
X:\OdontoceteClicks\clicks\2020\05\MARS_20200501_235219.wav_clicks.jld2,2020-05-01T23:52:19.0,2020-05-01,2020-05-23T14:32:45.544
X:\OdontoceteClicks\clicks\2020\05\MARS_20200502_000219.wav_clicks.jld2,2020-05-02T00:02:19.0,2020-05-02,2020-05-23T14:33:05.956
X:\OdontoceteClicks\clicks\2020\05\MARS_20200502_001219.wav_clicks.jld2,2020-05-02T00:12:19.0,2020-05-02,2020-05-23T14:33:07.012
X:\OdontoceteClicks\clicks\2020\05\MARS_20200502_002219.wav_clicks.jld2,2020-05-02T00:22:19.0,2020-05-02,2020-05-23T14:33:26.133
X:\OdontoceteClicks\clicks\2020\05\MARS_20200502_003219.wav_clicks.jld2,2020-05-02T00:32:19.0,2020-05-02,2020-05-23T14:33:30.338
X:\OdontoceteClicks\clicks\2020\05\MARS_20200502_004219.wav_clicks.jld2,2020-05-02T00:42:19.0,2020-05-02,2020-05-23T14:33:47.528
X:\OdontoceteClicks\clicks\2020\05\MARS_20200502_005219.wav_clicks.jld2,2020-05-02T00:52:19.0,2020-05-02,2020-05-23T14:33:51.918
X:\OdontoceteClicks\clicks\2020\05\MARS_20200502_010219.wav_clicks.jld2,2020-05-02T01:02:19.0,2020-05-02,2020-05-23T14:34:09.44
X:\OdontoceteClicks\clicks\2020\05\MARS_20200502_011219.wav_clicks.jld2,2020-05-02T01:12:19.0,2020-05-02,2020-05-23T14:34:12.122
X:\OdontoceteClicks\clicks\2020\05\MARS_20200502_012219.wav_clicks.jld2,2020-05-02T01:22:19.0,2020-05-02,2020-05-23T14:34:31.42
X:\OdontoceteClicks\clicks\2020\05\MARS_20200502_013219.wav_clicks.jld2,2020-05-02T01:32:19.0,2020-05-02,2020-05-23T14:34:33.508
X:\OdontoceteClicks\clicks\2020\05\MARS_20200502_014219.wav_clicks.jld2,2020-05-02T01:42:19.0,2020-05-02,2020-05-23T14:34:53.694
X:\OdontoceteClicks\clicks\2020\05\MARS_20200502_015219.wav_clicks.jld2,2020-05-02T01:52:19.0,2020-05-02,2020-05-23T14:34:55.529
X:\OdontoceteClicks\clicks\2020\05\MARS_20200502_020219.wav_clicks.jld2,2020-05-02T02:02:19.0,2020-05-02,2020-05-23T14:35:17.534
X:\OdontoceteClicks\clicks\2020\05\MARS_20200502_021219.wav_clicks.jld2,2020-05-02T02:12:19.0,2020-05-02,2020-05-23T14:35:18.342
X:\OdontoceteClicks\clicks\2020\05\MARS_20200502_022219.wav_clicks.jld2,2020-05-02T02:22:19.0,2020-05-02,2020-05-23T14:35:38.709
X:\OdontoceteClicks\clicks\2020\05\MARS_20200502_023219.wav_clicks.jld2,2020-05-02T02:32:19.0,2020-05-02,2020-05-23T14:35:39.409
X:\OdontoceteClicks\clicks\2020\05\MARS_20200502_024219.wav_clicks.jld2,2020-05-02T02:42:19.0,2020-05-02,2020-05-23T14:35:59.569
X:\OdontoceteClicks\clicks\2020\05\MARS_20200502_025219.wav_clicks.jld2,2020-05-02T02:52:19.0,2020-05-02,2020-05-23T14:36:00.075
X:\OdontoceteClicks\clicks\2020\05\MARS_20200502_030219.wav_clicks.jld2,2020-05-02T03:02:19.0,2020-05-02,2020-05-23T14:36:20.525
X:\OdontoceteClicks\clicks\2020\05\MARS_20200502_031219.wav_clicks.jld2,2020-05-02T03:12:19.0,2020-05-02,2020-05-23T14:36:21.001
X:\OdontoceteClicks\clicks\2020\05\MARS_20200502_032219.wav_clicks.jld2,2020-05-02T03:22:19.0,2020-05-02,2020-05-23T14:36:42.151
X:\OdontoceteClicks\clicks\2020\05\MARS_20200502_033219.wav_clicks.jld2,2020-05-02T03:32:19.0,2020-05-02,2020-05-23T14:36:41.245
